"中文","繁體中文（香港）","繁體中文（台灣）","English","Bahasa Indonesia","Bahasa Melayu","Español","한국어","Italiano","日本語","Português","Русский","ภาษาไทย","Tiếng Việt","العربية","Türkçe","Deutsch","Français"
"确认清空最近10条计算历史？","確認清空最近10條計算歷史？","確認清除最近 10 筆計算歷史？","Clear the latest 10 calculation records?","Hapus 10 riwayat perhitungan terbaru?","Kosongkan 10 sejarah pengiraan terkini?","¿Borrar los 10 registros de cálculo más recientes?","최근 계산 기록 10개를 지울까요?","Cancellare gli ultimi 10 calcoli?","最新10件の計算履歴を消去しますか？","Limpar os 10 registros de cálculo mais recentes?","Очистить последние 10 расчетов?","ล้างประวัติการคำนวณ 10 รายการล่าสุดหรือไม่","Xóa 10 lịch sử tính toán gần nhất?","هل تريد مسح آخر 10 سجلات حساب؟","Son 10 hesaplama kaydı silinsin mi?","Die letzten 10 Berechnungen löschen?","Effacer les 10 derniers calculs ?"
"清空","清空","清除","Clear","Hapus","Kosongkan","Borrar","지우기","Cancella","消去","Limpar","Очистить","ล้าง","Xóa","مسح","Temizle","Löschen","Effacer"
"已回填历史记录","已回填歷史記錄","已回填歷史紀錄","History restored","Riwayat diisi kembali","Sejarah diisi semula","Historial restaurado","기록을 불러왔습니다","Cronologia ripristinata","履歴を復元しました","Histórico restaurado","История восстановлена","เติมข้อมูลจากประวัติแล้ว","Đã điền lại lịch sử","تمت استعادة السجل","Geçmiş geri yüklendi","Verlauf wiederhergestellt","Historique restauré"
"暂无可复制结果","暫無可複製結果","暫無可複製結果","No result to copy","Belum ada hasil untuk disalin","Tiada hasil untuk disalin","No hay resultado para copiar","복사할 결과가 없습니다","Nessun risultato da copiare","コピーできる結果がありません","Nenhum resultado para copiar","Нет результата для копирования","ยังไม่มีผลลัพธ์ให้คัดลอก","Chưa có kết quả để sao chép","لا توجد نتيجة لنسخها","Kopyalanacak sonuç yok","Kein Ergebnis zum Kopieren","Aucun résultat à copier"
"已复制结果","已複製結果","已複製結果","Result copied","Hasil disalin","Hasil disalin","Resultado copiado","결과가 복사되었습니다","Risultato copiato","結果をコピーしました","Resultado copiado","Результат скопирован","คัดลอกผลลัพธ์แล้ว","Đã sao chép kết quả","تم نسخ النتيجة","Sonuç kopyalandı","Ergebnis kopiert","Résultat copié"
"延时摄影方案：拍摄时长 {duration} 分钟，成片时长 {finalDuration} 秒，帧速率 {frameRate} fps，拍摄间隔 {interval} 秒，总张数 {totalFrames} 张。","延時攝影方案：拍攝時長 {duration} 分鐘，成片時長 {finalDuration} 秒，幀速率 {frameRate} fps，拍攝間隔 {interval} 秒，總張數 {totalFrames} 張。","縮時攝影方案：拍攝時長 {duration} 分鐘，成片時長 {finalDuration} 秒，影格率 {frameRate} fps，拍攝間隔 {interval} 秒，總張數 {totalFrames} 張。","Timelapse plan: shooting duration {duration} min, final video {finalDuration} sec, frame rate {frameRate} fps, interval {interval} sec, total shots {totalFrames}.","Rencana timelapse: durasi pemotretan {duration} mnt, video akhir {finalDuration} dtk, laju bingkai {frameRate} fps, interval {interval} dtk, total foto {totalFrames}.","Pelan selang masa: tempoh rakaman {duration} min, video akhir {finalDuration} saat, kadar bingkai {frameRate} fps, selang {interval} saat, jumlah tangkapan {totalFrames}.","Plan de timelapse: duración de captura {duration} min, video final {finalDuration} s, velocidad {frameRate} fps, intervalo {interval} s, total de fotos {totalFrames}.","타임랩스 계획: 촬영 시간 {duration}분, 완성 영상 {finalDuration}초, 프레임 속도 {frameRate} fps, 촬영 간격 {interval}초, 총 {totalFrames}장.","Piano timelapse: durata ripresa {duration} min, video finale {finalDuration} sec, frequenza {frameRate} fps, intervallo {interval} sec, scatti totali {totalFrames}.","タイムラプスプラン：撮影時間 {duration} 分、完成動画 {finalDuration} 秒、フレームレート {frameRate} fps、撮影間隔 {interval} 秒、総撮影枚数 {totalFrames} 枚。","Plano de timelapse: duração da captura {duration} min, vídeo final {finalDuration} s, taxa {frameRate} fps, intervalo {interval} s, total de fotos {totalFrames}.","План таймлапса: съемка {duration} мин, итоговое видео {finalDuration} сек., частота {frameRate} fps, интервал {interval} сек., всего снимков {totalFrames}.","แผนไทม์แลปส์: ระยะเวลาถ่าย {duration} นาที วิดีโอสุดท้าย {finalDuration} วินาที อัตราเฟรม {frameRate} fps ช่วงเวลาถ่าย {interval} วินาที จำนวนภาพทั้งหมด {totalFrames} ภาพ","Phương án time-lapse: thời lượng chụp {duration} phút, video hoàn chỉnh {finalDuration} giây, tốc độ {frameRate} fps, khoảng cách {interval} giây, tổng số ảnh {totalFrames}.","خطة التصوير الزمني: مدة التصوير {duration} دقيقة، مدة الفيديو النهائي {finalDuration} ثانية، معدل الإطارات {frameRate} fps، فاصل التصوير {interval} ثانية، إجمالي اللقطات {totalFrames}.","Timelapse planı: çekim süresi {duration} dk, son video {finalDuration} sn, kare hızı {frameRate} fps, aralık {interval} sn, toplam çekim {totalFrames}.","Zeitraffer-Plan: Aufnahmedauer {duration} Min., fertiges Video {finalDuration} Sek., Bildrate {frameRate} fps, Intervall {interval} Sek., Gesamtaufnahmen {totalFrames}.","Plan timelapse : durée de prise de vue {duration} min, vidéo finale {finalDuration} s, fréquence {frameRate} fps, intervalle {interval} s, nombre total {totalFrames}."
"拍摄清单","拍攝清單","拍攝清單","Shooting checklist","Daftar periksa pemotretan","Senarai semak rakaman","Lista de captura","촬영 체크리스트","Lista di controllo ripresa","撮影チェックリスト","Lista de captura","Чек-лист съемки","เช็กลิสต์การถ่าย","Danh sách kiểm tra chụp","قائمة تحقق التصوير","Çekim kontrol listesi","Aufnahme-Checkliste","Liste de contrôle de prise de vue"
"为下一次计划拍摄整理设备，按设备类型勾选和补充检查项。","為下一次計劃拍攝整理設備，按設備類型勾選和補充檢查項。","為下一次計畫拍攝整理設備，按設備類型勾選和補充檢查項。","Organize gear for your next planned shoot. Check and add items by equipment type.","Atur perlengkapan untuk pemotretan berikutnya. Centang dan tambahkan item menurut jenis perangkat.","Susun peralatan untuk rakaman dirancang seterusnya. Tanda dan tambah item mengikut jenis peralatan.","Organiza el equipo para tu próxima toma. Marca y añade elementos por tipo de equipo.","다음 촬영 장비를 정리하세요. 장비 유형별로 항목을 체크하고 추가할 수 있습니다.","Organizza l'attrezzatura per la prossima ripresa. Spunta e aggiungi elementi per tipo.","次回の撮影に向けて機材を整理し、種類別にチェック項目を追加できます。","Organize o equipamento para a próxima captura. Marque e adicione itens por tipo.","Подготовьте оборудование для следующей съемки. Отмечайте и добавляйте пункты по типу.","จัดอุปกรณ์สำหรับการถ่ายครั้งถัดไป เลือกและเพิ่มรายการตามประเภทอุปกรณ์","Sắp xếp thiết bị cho lần chụp tiếp theo. Đánh dấu và bổ sung mục theo loại thiết bị.","نظم المعدات للتصوير القادم. تحقق من العناصر وأضفها حسب نوع المعدات.","Sonraki planlı çekim için ekipmanları düzenleyin. Öğeleri ekipman türüne göre işaretleyip ekleyin.","Organisiere Ausrüstung für die nächste Aufnahme. Prüfe und ergänze Punkte nach Gerätetyp.","Organisez le matériel pour votre prochaine prise de vue. Cochez et ajoutez des éléments par type."
"隐私提醒：本小程序不收集个人信息，清单仅保存在微信本地缓存中。清理缓存、删除小程序或更换设备后，数据可能丢失。","私隱提醒：本小程序不收集個人資料，清單僅保存在微信本地緩存中。清理緩存、刪除小程序或更換設備後，資料可能丟失。","隱私提醒：本小程式不收集個人資訊，清單僅保存在微信本機快取中。清理快取、刪除小程式或更換裝置後，資料可能遺失。","Privacy notice: this Mini Program does not collect personal information. The checklist is stored only in WeChat local cache. Data may be lost after clearing cache, deleting the Mini Program, or changing devices.","Pemberitahuan privasi: Mini Program ini tidak mengumpulkan informasi pribadi. Daftar hanya disimpan di cache lokal WeChat. Data dapat hilang setelah cache dibersihkan, Mini Program dihapus, atau perangkat diganti.","Notis privasi: Program Mini ini tidak mengumpul maklumat peribadi. Senarai hanya disimpan dalam cache tempatan WeChat. Data mungkin hilang selepas cache dikosongkan, Program Mini dipadam atau peranti ditukar.","Aviso de privacidad: este Mini Program no recopila información personal. La lista solo se guarda en la caché local de WeChat. Los datos pueden perderse al borrar la caché, eliminar el Mini Program o cambiar de dispositivo.","개인정보 안내: 이 미니 프로그램은 개인정보를 수집하지 않습니다. 체크리스트는 WeChat 로컬 캐시에만 저장됩니다. 캐시 삭제, 미니 프로그램 삭제, 기기 변경 시 데이터가 사라질 수 있습니다.","Avviso privacy: questo Mini Program non raccoglie dati personali. La lista è salvata solo nella cache locale di WeChat. I dati possono andare persi cancellando la cache, eliminando il Mini Program o cambiando dispositivo.","プライバシー通知：このミニプログラムは個人情報を収集しません。チェックリストはWeChatのローカルキャッシュにのみ保存されます。キャッシュ削除、ミニプログラム削除、端末変更でデータが失われる場合があります。","Aviso de privacidade: este Mini Programa não coleta informações pessoais. A lista fica apenas no cache local do WeChat. Dados podem ser perdidos ao limpar cache, excluir o Mini Programa ou trocar de dispositivo.","Уведомление о конфиденциальности: мини-программа не собирает личные данные. Чек-лист хранится только в локальном кэше WeChat. Данные могут быть потеряны после очистки кэша, удаления мини-программы или смены устройства.","ประกาศความเป็นส่วนตัว: มินิโปรแกรมนี้ไม่เก็บข้อมูลส่วนบุคคล เช็กลิสต์จะบันทึกเฉพาะในแคชภายใน WeChat ข้อมูลอาจสูญหายหลังล้างแคช ลบมินิโปรแกรม หรือเปลี่ยนอุปกรณ์","Thông báo quyền riêng tư: Mini Program này không thu thập thông tin cá nhân. Danh sách chỉ lưu trong bộ nhớ đệm cục bộ của WeChat. Dữ liệu có thể mất khi xóa bộ nhớ đệm, xóa Mini Program hoặc đổi thiết bị.","تنبيه الخصوصية: لا يجمع هذا البرنامج المصغر معلومات شخصية. تحفظ القائمة فقط في ذاكرة WeChat المحلية. قد تفقد البيانات بعد مسح الذاكرة المؤقتة أو حذف البرنامج المصغر أو تغيير الجهاز.","Gizlilik bildirimi: Bu Mini Program kişisel bilgi toplamaz. Kontrol listesi yalnızca WeChat yerel önbelleğinde saklanır. Önbelleği temizleme, Mini Programı silme veya cihaz değiştirme sonrası veriler kaybolabilir.","Datenschutzhinweis: Dieses Mini Program sammelt keine personenbezogenen Daten. Die Checkliste wird nur im lokalen WeChat-Cache gespeichert. Daten können nach Cache-Löschung, Löschen des Mini Programs oder Gerätewechsel verloren gehen.","Avis de confidentialité : ce Mini Program ne collecte pas d'informations personnelles. La liste est stockée uniquement dans le cache local de WeChat. Les données peuvent être perdues après effacement du cache, suppression du Mini Program ou changement d'appareil."
"计划事件","計劃事件","計畫事件","Planned event","Acara terencana","Acara dirancang","Evento planificado","계획한 이벤트","Evento pianificato","予定イベント","Evento planejado","Запланированное событие","กิจกรรมที่วางแผน","Sự kiện dự kiến","الحدث المخطط","Planlanan etkinlik","Geplantes Ereignis","Événement prévu"
"名称","名稱","名稱","Name","Nama","Nama","Nombre","이름","Nome","名前","Nome","Название","ชื่อ","Tên","الاسم","Ad","Name","Nom"
"例如：周末日落延时","例如：週末日落延時","例如：週末日落縮時","Example: weekend sunset timelapse","Contoh: timelapse matahari terbenam akhir pekan","Contoh: selang masa matahari terbenam hujung minggu","Ejemplo: timelapse de atardecer de fin de semana","예: 주말 일몰 타임랩스","Esempio: timelapse tramonto weekend","例：週末の夕日タイムラプス","Exemplo: timelapse do pôr do sol no fim de semana","Например: таймлапс заката на выходных","เช่น ไทม์แลปส์พระอาทิตย์ตกสุดสัปดาห์","Ví dụ: time-lapse hoàng hôn cuối tuần","مثال: تصوير زمني لغروب نهاية الأسبوع","Örnek: hafta sonu gün batımı timelapse","Beispiel: Wochenend-Sonnenuntergang-Zeitraffer","Exemple : timelapse de coucher de soleil du week-end"
"日期","日期","日期","Date","Tanggal","Tarikh","Fecha","날짜","Data","日付","Data","Дата","วันที่","Ngày","التاريخ","Tarih","Datum","Date"
"选择日期","選擇日期","選擇日期","Select date","Pilih tanggal","Pilih tarikh","Seleccionar fecha","날짜 선택","Seleziona data","日付を選択","Selecionar data","Выбрать дату","เลือกวันที่","Chọn ngày","اختر التاريخ","Tarih seç","Datum auswählen","Choisir une date"
"新增检查项","新增檢查項","新增檢查項","Add checklist item","Tambah item daftar periksa","Tambah item senarai semak","Añadir elemento","체크 항목 추가","Aggiungi elemento","チェック項目を追加","Adicionar item","Добавить пункт","เพิ่มรายการตรวจสอบ","Thêm mục kiểm tra","إضافة عنصر تحقق","Kontrol öğesi ekle","Checklistenpunkt hinzufügen","Ajouter un élément"
"分类","分類","分類","Category","Kategori","Kategori","Categoría","분류","Categoria","カテゴリ","Categoria","Категория","หมวดหมู่","Danh mục","الفئة","Kategori","Kategorie","Catégorie"
"输入自定义设备或事项","輸入自訂設備或事項","輸入自訂設備或事項","Enter custom gear or item","Masukkan perlengkapan atau hal khusus","Masukkan peralatan atau perkara tersuai","Introduce equipo o elemento personalizado","사용자 지정 장비 또는 항목 입력","Inserisci attrezzatura o elemento personalizzato","カスタム機材または項目を入力","Insira equipamento ou item personalizado","Введите свое оборудование или пункт","ป้อนอุปกรณ์หรือรายการกำหนดเอง","Nhập thiết bị hoặc mục tùy chỉnh","أدخل معدات أو عنصرا مخصصا","Özel ekipman veya öğe girin","Eigene Ausrüstung oder Punkt eingeben","Saisir un matériel ou élément personnalisé"
"添加","添加","新增","Add","Tambah","Tambah","Añadir","추가","Aggiungi","追加","Adicionar","Добавить","เพิ่ม","Thêm","إضافة","Ekle","Hinzufügen","Ajouter"
"暂无检查项，可在上方添加。","暫無檢查項，可在上方添加。","暫無檢查項，可在上方新增。","No checklist items yet. Add one above.","Belum ada item. Tambahkan di atas.","Tiada item lagi. Tambah di atas.","Aún no hay elementos. Añade uno arriba.","아직 체크 항목이 없습니다. 위에서 추가하세요.","Nessun elemento. Aggiungine uno sopra.","チェック項目はまだありません。上で追加できます。","Ainda não há itens. Adicione acima.","Пунктов пока нет. Добавьте выше.","ยังไม่มีรายการตรวจสอบ เพิ่มได้ด้านบน","Chưa có mục kiểm tra. Thêm ở trên.","لا توجد عناصر تحقق بعد. أضف من الأعلى.","Henüz öğe yok. Yukarıdan ekleyin.","Noch keine Punkte. Oben hinzufügen.","Aucun élément. Ajoutez-en un ci-dessus."
"删除","刪除","刪除","Delete","Hapus","Padam","Eliminar","삭제","Elimina","削除","Excluir","Удалить","ลบ","Xóa","حذف","Sil","Löschen","Supprimer"
"恢复默认","恢復預設","恢復預設","Restore defaults","Pulihkan default","Pulihkan lalai","Restaurar valores predeterminados","기본값 복원","Ripristina predefiniti","既定値に戻す","Restaurar padrões","Восстановить по умолчанию","คืนค่าเริ่มต้น","Khôi phục mặc định","استعادة الافتراضي","Varsayılanları geri yükle","Standards wiederherstellen","Restaurer les valeurs par défaut"
"删除清单","刪除清單","刪除清單","Delete checklist","Hapus daftar","Padam senarai","Eliminar lista","체크리스트 삭제","Elimina lista","チェックリストを削除","Excluir lista","Удалить чек-лист","ลบเช็กลิสต์","Xóa danh sách","حذف القائمة","Listeyi sil","Checkliste löschen","Supprimer la liste"
"拍摄设备","拍攝設備","拍攝設備","Shooting gear","Peralatan pemotretan","Peralatan rakaman","Equipo de captura","촬영 장비","Attrezzatura di ripresa","撮影機材","Equipamento de captura","Оборудование для съемки","อุปกรณ์ถ่าย","Thiết bị chụp","معدات التصوير","Çekim ekipmanı","Aufnahmeausrüstung","Matériel de prise de vue"
"镜头与滤镜","鏡頭與濾鏡","鏡頭與濾鏡","Lenses and filters","Lensa dan filter","Kanta dan penapis","Objetivos y filtros","렌즈 및 필터","Obiettivi e filtri","レンズとフィルター","Lentes e filtros","Объективы и фильтры","เลนส์และฟิลเตอร์","Ống kính và kính lọc","العدسات والمرشحات","Lensler ve filtreler","Objektive und Filter","Objectifs et filtres"
"支撑设备","支撐設備","支撐設備","Support gear","Peralatan penyangga","Peralatan sokongan","Equipo de soporte","지지 장비","Supporti","支持機材","Equipamento de suporte","Опорное оборудование","อุปกรณ์รองรับ","Thiết bị hỗ trợ","معدات الدعم","Destek ekipmanı","Stützausrüstung","Matériel de support"
"运动控制设备","運動控制設備","運動控制設備","Motion control gear","Peralatan kontrol gerak","Peralatan kawalan gerakan","Equipo de control de movimiento","모션 제어 장비","Attrezzatura motion control","モーション制御機材","Equipamento de controle de movimento","Оборудование управления движением","อุปกรณ์ควบคุมการเคลื่อนที่","Thiết bị điều khiển chuyển động","معدات التحكم بالحركة","Hareket kontrol ekipmanı","Motion-Control-Ausrüstung","Matériel de contrôle de mouvement"
"供电设备","供電設備","供電設備","Power gear","Peralatan daya","Peralatan kuasa","Equipo de alimentación","전원 장비","Alimentazione","電源機材","Equipamento de energia","Питание","อุปกรณ์จ่ายไฟ","Thiết bị nguồn","معدات الطاقة","Güç ekipmanı","Stromversorgung","Matériel d'alimentation"
"存储设备","儲存設備","儲存設備","Storage gear","Peralatan penyimpanan","Peralatan storan","Equipo de almacenamiento","저장 장비","Archiviazione","保存機材","Equipamento de armazenamento","Носители данных","อุปกรณ์จัดเก็บข้อมูล","Thiết bị lưu trữ","معدات التخزين","Depolama ekipmanı","Speicherausrüstung","Matériel de stockage"
"现场辅助设备","現場輔助設備","現場輔助設備","On-site support gear","Peralatan pendukung lapangan","Peralatan sokongan di lokasi","Equipo auxiliar en sitio","현장 보조 장비","Supporto sul posto","現場補助機材","Equipamento de apoio no local","Вспомогательное оборудование на месте","อุปกรณ์ช่วยภาคสนาม","Thiết bị hỗ trợ tại hiện trường","معدات الدعم في الموقع","Saha destek ekipmanı","Vor-Ort-Hilfsausrüstung","Matériel d'assistance sur site"
"其他设备","其他設備","其他設備","Other gear","Peralatan lain","Peralatan lain","Otro equipo","기타 장비","Altra attrezzatura","その他の機材","Outro equipamento","Другое оборудование","อุปกรณ์อื่น","Thiết bị khác","معدات أخرى","Diğer ekipman","Andere Ausrüstung","Autre matériel"
"主相机或主手机已充电并可正常拍摄","主相機或主手機已充電並可正常拍攝","主相機或主手機已充電並可正常拍攝","Main camera or phone is charged and ready to shoot","Kamera atau ponsel utama terisi daya dan siap memotret","Kamera atau telefon utama dicas dan sedia merakam","La cámara o teléfono principal está cargado y listo","주 카메라 또는 휴대폰이 충전되어 촬영 가능","Fotocamera o telefono principale carico e pronto","メインカメラまたはスマホは充電済みで撮影可能","Câmera ou celular principal carregado e pronto","Основная камера или телефон заряжены и готовы","กล้องหรือโทรศัพท์หลักชาร์จแล้วและพร้อมถ่าย","Máy ảnh hoặc điện thoại chính đã sạc và sẵn sàng","الكاميرا أو الهاتف الرئيسي مشحون وجاهز للتصوير","Ana kamera veya telefon şarjlı ve çekime hazır","Hauptkamera oder Smartphone ist geladen und bereit","Appareil principal ou téléphone chargé et prêt"
"备用相机或备用手机已准备","備用相機或備用手機已準備","備用相機或備用手機已準備","Backup camera or phone is ready","Kamera atau ponsel cadangan siap","Kamera atau telefon sandaran sedia","Cámara o teléfono de respaldo listo","예비 카메라 또는 휴대폰 준비 완료","Fotocamera o telefono di riserva pronto","予備カメラまたはスマホ準備済み","Câmera ou celular reserva pronto","Резервная камера или телефон готовы","กล้องหรือโทรศัพท์สำรองพร้อมแล้ว","Máy ảnh hoặc điện thoại dự phòng đã sẵn sàng","الكاميرا أو الهاتف الاحتياطي جاهز","Yedek kamera veya telefon hazır","Ersatzkamera oder Smartphone bereit","Appareil ou téléphone de secours prêt"
"已清洁镜头、传感器或手机摄像头","已清潔鏡頭、感應器或手機鏡頭","已清潔鏡頭、感光元件或手機鏡頭","Lens, sensor, or phone camera cleaned","Lensa, sensor, atau kamera ponsel sudah dibersihkan","Kanta, sensor atau kamera telefon telah dibersihkan","Objetivo, sensor o cámara del teléfono limpios","렌즈, 센서 또는 휴대폰 카메라 청소 완료","Obiettivo, sensore o fotocamera del telefono puliti","レンズ、センサー、スマホカメラを清掃済み","Lente, sensor ou câmera do celular limpos","Объектив, сенсор или камера телефона очищены","ทำความสะอาดเลนส์ เซนเซอร์ หรือกล้องโทรศัพท์แล้ว","Đã vệ sinh ống kính, cảm biến hoặc camera điện thoại","تم تنظيف العدسة أو المستشعر أو كاميرا الهاتف","Lens, sensör veya telefon kamerası temizlendi","Objektiv, Sensor oder Smartphone-Kamera gereinigt","Objectif, capteur ou caméra du téléphone nettoyé"
"已关闭不必要的通知、自动锁屏和省电限制","已關閉不必要的通知、自動鎖屏和省電限制","已關閉不必要的通知、自動鎖定和省電限制","Unneeded notifications, auto-lock, and power-saving limits disabled","Notifikasi tidak perlu, kunci otomatis, dan batas hemat daya dimatikan","Pemberitahuan tidak perlu, kunci automatik dan had jimat kuasa dimatikan","Notificaciones innecesarias, bloqueo automático y ahorro de energía desactivados","불필요한 알림, 자동 잠금, 절전 제한 해제","Notifiche inutili, blocco automatico e risparmio energia disattivati","不要な通知、自動ロック、省電力制限をオフ","Notificações desnecessárias, bloqueio automático e economia de energia desativados","Ненужные уведомления, автоблокировка и энергосбережение отключены","ปิดการแจ้งเตือนที่ไม่จำเป็น ล็อกอัตโนมัติ และข้อจำกัดประหยัดพลังงานแล้ว","Đã tắt thông báo không cần thiết, tự khóa và giới hạn tiết kiệm pin","تم إيقاف الإشعارات غير الضرورية والقفل التلقائي وحدود توفير الطاقة","Gereksiz bildirimler, otomatik kilit ve güç tasarrufu sınırlamaları kapalı","Unnötige Benachrichtigungen, Auto-Sperre und Energiesparen deaktiviert","Notifications inutiles, verrouillage auto et économie d'énergie désactivés"
"已选择适合构图的镜头或手机焦段","已選擇適合構圖的鏡頭或手機焦段","已選擇適合構圖的鏡頭或手機焦段","Lens or phone focal length suitable for composition selected","Lensa atau panjang fokus ponsel yang sesuai komposisi dipilih","Kanta atau jarak fokus telefon sesuai komposisi dipilih","Objetivo o focal del teléfono adecuados para la composición seleccionados","구도에 맞는 렌즈 또는 휴대폰 화각 선택 완료","Obiettivo o focale telefono adatti alla composizione scelti","構図に合うレンズまたはスマホ焦点距離を選択済み","Lente ou distância focal do celular adequada escolhida","Выбран объектив или фокусное телефона под композицию","เลือกเลนส์หรือช่วงโฟกัสโทรศัพท์ที่เหมาะกับองค์ประกอบภาพแล้ว","Đã chọn ống kính hoặc tiêu cự điện thoại phù hợp bố cục","تم اختيار عدسة أو بعد بؤري للهاتف مناسب للتكوين","Kadraj için uygun lens veya telefon odak uzaklığı seçildi","Passendes Objektiv oder Smartphone-Brennweite gewählt","Objectif ou focale de téléphone adapté au cadrage choisi"
"ND 滤镜、CPL 滤镜或转接环已带齐","ND 濾鏡、CPL 濾鏡或轉接環已帶齊","ND 濾鏡、CPL 濾鏡或轉接環已帶齊","ND filter, CPL filter, or adapter ring packed","Filter ND, filter CPL, atau cincin adaptor dibawa","Penapis ND, penapis CPL atau cincin penyesuai dibawa","Filtro ND, filtro CPL o anillo adaptador preparado","ND 필터, CPL 필터 또는 어댑터 링 준비 완료","Filtro ND, filtro CPL o anello adattatore pronti","NDフィルター、CPLフィルター、アダプターリング準備済み","Filtro ND, filtro CPL ou anel adaptador embalado","ND-фильтр, CPL-фильтр или переходное кольцо взяты","เตรียมฟิลเตอร์ ND, CPL หรือแหวนแปลงแล้ว","Đã mang kính lọc ND, CPL hoặc vòng chuyển","تم تجهيز مرشح ND أو CPL أو حلقة تحويل","ND filtre, CPL filtre veya adaptör halkası hazır","ND-Filter, CPL-Filter oder Adapterring eingepackt","Filtre ND, filtre CPL ou bague d'adaptation prêts"
"镜头盖、遮光罩、清洁布和气吹已准备","鏡頭蓋、遮光罩、清潔布和氣吹已準備","鏡頭蓋、遮光罩、清潔布和吹球已準備","Lens cap, hood, cleaning cloth, and blower ready","Tutup lensa, tudung lensa, kain pembersih, dan blower siap","Penutup kanta, hud, kain pembersih dan peniup sedia","Tapa, parasol, paño de limpieza y soplador listos","렌즈 캡, 후드, 클리닝 천, 블로어 준비 완료","Tappo, paraluce, panno e soffietto pronti","レンズキャップ、フード、クリーニングクロス、ブロワー準備済み","Tampa, parassol, pano e soprador prontos","Крышка, бленда, салфетка и груша готовы","เตรียมฝาปิดเลนส์ ฮูด ผ้าเช็ด และลูกยางเป่าลมแล้ว","Đã chuẩn bị nắp ống kính, hood, khăn lau và bóng thổi","تم تجهيز غطاء العدسة والواقي وقماش التنظيف والمنفاخ","Lens kapağı, parasoley, temizleme bezi ve hava pompası hazır","Objektivdeckel, Blende, Tuch und Blasebalg bereit","Bouchon, pare-soleil, chiffon et soufflette prêts"
"三脚架、云台或手机夹已检查锁紧","三腳架、雲台或手機夾已檢查鎖緊","腳架、雲台或手機夾已檢查鎖緊","Tripod, head, or phone clamp checked and tightened","Tripod, kepala tripod, atau penjepit ponsel diperiksa dan dikencangkan","Tripod, kepala tripod atau pengapit telefon diperiksa dan diketatkan","Trípode, rótula o soporte de teléfono revisados y ajustados","삼각대, 헤드 또는 휴대폰 클램프 잠금 확인","Treppiede, testa o supporto telefono controllati e serrati","三脚、雲台、スマホホルダーの固定確認済み","Tripé, cabeça ou suporte do celular verificados e apertados","Штатив, головка или держатель телефона проверены и затянуты","ตรวจสอบและล็อกขาตั้ง หัวแพน หรือที่จับโทรศัพท์แล้ว","Đã kiểm tra và siết chân máy, đầu tripod hoặc kẹp điện thoại","تم فحص وتثبيت الحامل الثلاثي أو الرأس أو مشبك الهاتف","Tripod, kafa veya telefon kelepçesi kontrol edilip sıkıldı","Stativ, Kopf oder Handyhalter geprüft und festgezogen","Trépied, rotule ou pince téléphone vérifiés et serrés"
"快装板、螺丝、转接头已带齐","快裝板、螺絲、轉接頭已帶齊","快拆板、螺絲、轉接頭已帶齊","Quick-release plate, screws, and adapters packed","Pelat quick-release, sekrup, dan adaptor dibawa","Plat lepas cepat, skru dan penyesuai dibawa","Placa rápida, tornillos y adaptadores preparados","퀵 릴리스 플레이트, 나사, 어댑터 준비 완료","Piastra rapida, viti e adattatori pronti","クイックリリースプレート、ネジ、アダプター準備済み","Placa rápida, parafusos e adaptadores embalados","Площадка, винты и адаптеры взяты","เตรียมเพลตปลดเร็ว สกรู และอะแดปเตอร์แล้ว","Đã mang plate tháo nhanh, vít và đầu chuyển","تم تجهيز لوحة التحرير السريع والبراغي والمحولات","Hızlı bağlantı plakası, vidalar ve adaptörler hazır","Schnellwechselplatte, Schrauben und Adapter eingepackt","Plateau rapide, vis et adaptateurs prêts"
"沙袋、配重或防风固定方案已准备","沙袋、配重或防風固定方案已準備","沙袋、配重或防風固定方案已準備","Sandbags, counterweights, or wind-stabilizing setup ready","Karung pasir, pemberat, atau solusi penahan angin siap","Beg pasir, pemberat atau kaedah penstabil angin sedia","Sacos de arena, contrapesos o fijación contra viento listos","모래주머니, 추 또는 방풍 고정 장치 준비 완료","Sacchi di sabbia, contrappesi o fissaggio antivento pronti","サンドバッグ、ウェイト、防風固定策準備済み","Sacos de areia, contrapesos ou fixação contra vento prontos","Мешки с песком, грузы или защита от ветра готовы","เตรียมถุงทราย ถ่วงน้ำหนัก หรือวิธียึดกันลมแล้ว","Đã chuẩn bị bao cát, đối trọng hoặc phương án cố định chống gió","تم تجهيز أكياس الرمل أو الأثقال أو تثبيت مقاوم للرياح","Kum torbaları, ağırlıklar veya rüzgar sabitleme hazır","Sandsäcke, Gegengewichte oder Windfixierung bereit","Sacs de sable, contrepoids ou fixation anti-vent prêts"
